gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
IL10,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.4829,3.137e-05,2.3196,0.002,9.791
RCAN1,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.4481,7.573e-05,2.2219,0.0025,9.7642
CEBPB,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.9533,0.0007737,2.2364,0.0496,9.7321
GNG2,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-32.6311,0.001,2.0975,0.0068,9.6467
AHI1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.5584,0.0246,3.0405,5.05e-06,9.6305
SATB1,Rest,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.9628,0.0009101,4.651,0.0001227,9.6219
DCTD,Stim48hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-25.4975,0.0027,3.2626,0.0197,9.6155
GRAMD1B,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,0.3191,0.0014,3.0405,5.05e-06,9.5985
KLF6,Rest,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.3066,0.0014,2.0975,0.0068,9.5408
PTGER4,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.7564,0.0005107,2.9229,0.0045,9.5341
HDGF,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.7349,0.0022,3.2899,0.0114,9.4945
ANXA2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.9523,0.0026,2.2157,0.0025,9.4939
DOT1L,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.4039,0.3597,3.0405,5.05e-06,9.4402
CDYL2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.8289,0.0038,2.3196,0.002,9.4191
TARS2,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.9254,0.1779,4.8979,0.0005224,9.4148
AQP3,Rest,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.5171,0.0026,2.7641,0.0496,9.4005
S1PR4,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.9577,0.0391,2.5487,0.0003376,9.1716
CD40LG,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.2996,0.0023,1.9783,0.0184,9.1716
SOCS1,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.4435,0.0033,4.1537,0.0303,9.1281
GLS,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.377,0.0234,2.5487,0.0003376,9.1016
KLF6,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.4395,0.0014,2.0214,0.0062,9.0738
GPR183,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.377,0.0765,3.0405,5.05e-06,9.0676
ADO,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.0697,0.3378,20.424,4.971e-05,9.0587
PLXNC1,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.9315,0.0482,4.8979,0.0005224,8.9827
CD47,Stim48hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-35.7751,0.0178,3.2626,0.0197,8.9353
NCK2,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.0112,0.0013,2.2219,0.005,8.9163
ORMDL3,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.7499,0.0035,3.0405,5.05e-06,8.8782
ATP8B4,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.2456,0.0143,2.2157,0.0025,8.8382
ELF1,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,0.0,2.614e-06,1.926,0.0255,8.79
IRF1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.4433,0.0007236,2.018,0.0124,8.7721
NCLN,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-30.8615,0.0047,1.9783,0.0184,8.7681
PGD,Stim48hr,multiple sclerosis,"partial chain - effect:untested, program:supported, disease:supported",1,,9.617e-05,3.8202,0.0077,8.7592
RBM17,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.2771,0.007,3.2947,0.0095,8.7551
CIITA,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.2372,0.0034,3.0478,0.0018,8.735
NCOA1,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.8954,0.0061,2.3974,0.0296,8.7316
MBIP,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.2364,0.0055,2.2219,0.005,8.7264
SLC7A5,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.8852,0.0053,2.1891,0.033,8.7253
CD47,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.95,0.0178,2.5487,0.0003376,8.6951
CELF2,Stim48hr,celiac disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-32.7631,0.0243,3.4335,0.0422,8.6403
SLC7A5,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.7485,0.0053,2.3613,0.0198,8.6373
FAR1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-26.7324,0.1048,2.5487,0.0003376,8.6192
CWF19L1,Stim8hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.03,0.0353,3.1208,0.0061,8.5827
MBD2,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.4624,0.0247,2.8934,0.0048,8.5805
NFKBIZ,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.9799,0.0012,2.3196,0.002,8.5413
PIK3R1,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.5526,0.0043,2.9229,0.0045,8.5311
TRAF1,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.1123,0.0242,3.7403,0.0025,8.4931
PSMB9,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-24.7694,0.009,2.8071,0.0025,8.4581
NARF,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.09,0.0101,2.2471,0.0318,8.4207
RBM17,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.5626,0.007,2.6869,0.0141,8.3086
DNMT3A,Stim48hr,ulcerative colitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.6175,0.0036,3.2147,0.0117,8.2802
IFITM2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.6587,0.0301,2.3196,0.002,8.2789
CALHM6,Stim8hr,autoimmune disease,"partial chain - effect:supported, program:untested, disease:supported",1,-7.2526,,3.0405,5.05e-06,8.2721
NUDT1,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.7281,0.0381,4.0078,0.0052,8.2694
MBD2,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.9858,0.0247,2.3196,0.002,8.2091
ID2,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.2387,0.0138,2.3974,0.0296,8.1969
SATB1,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.0209,0.0009101,3.956,0.0006502,8.164
KLF13,Stim8hr,psoriasis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.6073,0.0043,2.4554,0.0383,8.1368
MAPK1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-17.0352,0.0126,1.9239,0.0239,8.0852
PSMB9,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-26.475,0.009,1.9783,0.0184,8.0782
ARL4C,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.2392,0.0048,2.018,0.0124,8.0487
AKAP11,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.1242,0.0836,3.3018,0.0005511,8.0447
ODC1,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-36.7832,0.0164,2.1056,0.0352,7.9964
TPP2,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.1416,0.026,2.9229,0.0045,7.947
NLRC5,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.4722,0.0466,2.2157,0.0025,7.9317
B3GNT2,Rest,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-19.0671,0.1399,4.651,0.0001227,7.9176
ODC1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-20.6818,0.0164,2.018,0.0124,7.8954
RBM33,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.4639,0.0242,1.9783,0.0184,7.8429
FLNB,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.8697,0.0141,2.6126,0.0224,7.8047
P4HA2,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-6.0261,0.261,3.0405,5.05e-06,7.8035
DOK2,Stim48hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-19.8086,0.4765,4.0035,0.0059,7.8035
CHD3,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.6764,0.4449,2.5487,0.0003376,7.8029
SP110,Stim8hr,psoriasis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-10.0247,0.0935,3.1208,0.0167,7.7478
ASXL1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-37.508,0.0822,2.5487,0.0003376,7.746
TBCEL,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.5869,0.0126,2.5522,0.0441,7.7422
CD109,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.8792,0.0173,2.0214,0.0062,7.7353
TYMP,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.9213,0.021,2.018,0.0124,7.6529
P2RY10,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.6226,0.0805,3.0478,0.0018,7.6352
CISD1,Stim8hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-23.4457,0.2517,3.2899,0.0114,7.6098
OAS3,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-13.1904,0.0158,2.018,0.0124,7.599
TUFM,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.3668,0.0418,2.6869,0.0141,7.5541
ID2,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-3.0907,0.0138,3.4696,0.0356,7.5242
PCMTD1,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-14.8317,0.0332,1.926,0.0255,7.522
TNIP2,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-16.6827,0.0518,3.0478,0.0018,7.5138
ZFAND3,Stim8hr,type 1 diabetes mellitus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-18.3949,0.8528,4.0078,0.0052,7.5126
BATF3,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-14.4481,0.0892,3.8545,0.0123,7.4936
HIVEP3,Stim8hr,systemic lupus erythematosus,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.5933,0.005,3.7403,0.0025,7.4638
SUCLG2,Stim48hr,autoimmune disease,"partial chain - effect:untested, program:supported, disease:supported",1,,0.0002238,2.3196,0.002,7.4562
RAD50,Stim48hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.0898,0.1024,4.5639,0.0038,7.4528
FASLG,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.2923,0.0221,2.6869,0.0141,7.4481
APEH,Stim48hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-30.3333,0.1754,3.956,0.0006502,7.4158
FOSL1,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.8531,0.2967,3.0645,0.0018,7.4054
CSK,Stim8hr,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-36.828,0.0546,3.7403,0.0025,7.3835
ALPK1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-2.023,0.4797,3.0405,5.05e-06,7.3813
JUND,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.8271,0.04,2.9314,0.0255,7.354
AEBP2,Stim48hr,celiac disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-23.3113,0.8009,4.1274,0.0171,7.2671
AEBP2,Stim8hr,celiac disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-23.0996,0.8009,5.2346,0.0029,7.266
TUFM,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.9473,0.0418,1.9239,0.0478,7.2072
NFKBIA,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.3447,0.0388,2.8071,0.0025,7.1865
RBM33,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.3198,0.0242,1.6591,0.0462,7.1831
RIN3,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.4272,0.0014,1.9239,0.0239,7.1441
ANKRD10,Stim48hr,celiac disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.583,0.5294,4.1274,0.0171,7.1044
PRPF40A,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-1.8363,0.7105,3.0405,5.05e-06,7.0767
TNFRSF14,Rest,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.5155,0.897,4.651,0.0001227,7.0761
PCMTD1,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.7118,0.0332,1.6591,0.0462,7.0745
C8orf33,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-24.4985,0.0836,2.8934,0.0048,6.9684
MBNL1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.3474,0.7035,2.5487,0.0003376,6.9683
RASGRP1,Stim48hr,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.6453,0.0596,3.2626,0.0197,6.9575
RAD50,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.0157,0.1024,2.9819,0.0404,6.9474
FAS,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-17.0953,0.1003,2.5487,0.0003376,6.8708
TNFRSF14,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-17.4801,0.897,3.3018,0.0005511,6.8595
PDE7A,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.2715,0.3385,3.0478,0.0018,6.8515
UBAC2,Rest,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.224,0.1957,5.2985,0.0347,6.8435
ATP2A2,Stim48hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-10.1418,0.616,3.956,0.0006502,6.8185
AGO2,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-3.5816,0.0201,2.2219,0.0025,6.806
ORMDL3,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.2151,0.0035,1.9239,0.0478,6.7965
CLIC4,Stim48hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.5792,0.2335,2.3613,0.0265,6.792
ANK3,Stim8hr,inflammatory bowel disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.7201,0.0077,2.8934,0.0031,6.7865
MAP3K14,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.7922,0.8668,4.8979,0.0005224,6.786
PLXNC1,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.4732,0.0482,2.3613,0.0198,6.7744
FAS,Stim48hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-19.1098,0.1003,3.2947,0.0095,6.7671
COMMD9,Stim8hr,psoriasis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.5844,0.797,3.1208,0.0167,6.7523
FAM98B,Stim48hr,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-13.8126,0.933,3.2626,0.0197,6.7
VSIR,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-14.3829,0.0863,2.2219,0.0025,6.6899
RASGRP1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.3473,0.0596,2.5487,0.0003376,6.6735
SH2B3,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.5246,0.0638,3.0478,0.0018,6.6703
RPRD2,Stim48hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-16.0374,0.9835,3.4696,0.0356,6.6186
SHC4,Stim48hr,type 1 diabetes mellitus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.7046,0.4299,3.4347,0.0277,6.6163
IL3,Stim48hr,atopic eczema,"partial chain - effect:supported, program:untested, disease:supported",1,-4.3497,,4.5639,0.0038,6.6006
ZBTB21,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.9382,0.0745,2.2219,0.005,6.5946
CHD3,Rest,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-13.7136,0.4449,2.0975,0.0068,6.5898
CD83,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-16.4227,0.3807,3.0478,0.0018,6.5609
SLC12A7,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.9767,0.6813,2.3196,0.002,6.5394
COPRS,Stim8hr,type 1 diabetes mellitus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-31.5161,0.5255,2.7316,0.0352,6.5271
USP12,Stim8hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-20.0557,0.784,2.9314,0.0255,6.5246
P4HA2,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.4314,0.261,2.3196,0.002,6.517
CD6,Stim48hr,Crohn's disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-17.6541,0.6965,3.956,0.0006502,6.5095
BATF3,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.5167,0.0892,2.3196,0.002,6.5085
STING1,Stim8hr,autoimmune disease,"partial chain - effect:supported, program:untested, disease:supported",1,-18.4715,,2.5487,0.0003376,6.4981
MICOS10,Stim8hr,autoimmune disease,"partial chain - effect:supported, program:untested, disease:supported",1,-14.2782,,2.5487,0.0003376,6.4981
ZC3H12D,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.2563,0.8217,3.0645,0.0018,6.484
TSPAN18,Rest,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.7421,0.3458,2.9079,0.0012,6.4742
TET2,Stim8hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-17.6071,0.3549,3.0645,0.0018,6.4531
PDE7A,Rest,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-10.2332,0.3385,2.9229,0.0045,6.4516
SLC44A2,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-20.1865,0.3791,2.3196,0.002,6.382
CALHM6,Stim48hr,autoimmune disease,"partial chain - effect:supported, program:untested, disease:supported",1,-10.6089,,2.2157,0.0025,6.3707
TET2,Stim48hr,multiple sclerosis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-16.6787,0.3549,3.8202,0.0077,6.3656
PRDX6,Rest,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-16.7057,0.1424,2.5817,0.034,6.3411
PDIA3,Stim48hr,celiac disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-22.2943,0.5553,4.1274,0.0171,6.3241
ADAT2,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-14.0489,0.1607,2.6365,0.0057,6.3206
PSAT1,Stim48hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-12.6867,0.354,2.9917,0.0008715,6.3106
IL22,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-4.9143,0.3421,3.4304,0.0224,6.3004
TNFSF14,Stim8hr,multiple sclerosis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-21.8748,0.8354,2.8606,0.0438,6.2902
GNB2,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-19.2322,0.3696,2.2219,0.0025,6.2675
TSPAN3,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.3818,0.2522,2.3196,0.002,6.2456
PATJ,Stim8hr,ankylosing spondylitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.2812,0.2296,3.6295,0.0066,6.2406
SAT1,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-13.8449,0.4059,2.2157,0.0025,6.2161
RNF145,Rest,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-14.5353,0.8773,2.9079,0.0012,6.1844
PSAT1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-10.4731,0.354,1.9783,0.0184,6.1657
CYRIB,Stim48hr,rheumatoid arthritis,"partial chain - effect:supported, program:untested, disease:supported",1,-15.4749,,2.8071,0.0025,6.1583
ITM2A,Rest,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-21.0198,0.9813,2.0975,0.0068,6.1432
REL,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-11.3275,0.37,2.5487,0.0003376,6.1356
SMURF1,Stim48hr,ankylosing spondylitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.5512,0.4571,3.3994,0.0115,6.1313
ARHGAP45,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.6863,0.6285,2.6869,0.0141,6.1292
ERN1,Stim8hr,ankylosing spondylitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-9.1144,0.8619,3.6295,0.0066,6.1278
USP12,Stim48hr,ulcerative colitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-17.5907,0.784,3.2147,0.0117,6.1194
CD69,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-13.1097,0.1006,1.9239,0.0239,6.1148
CCR6,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-0.5584,0.0036,2.2364,0.0496,6.111
CD69,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-14.8324,0.1006,2.2219,0.005,6.0846
ATP5MG,Rest,rheumatoid arthritis,"partial chain - effect:supported, program:untested, disease:supported",1,-32.9465,,2.9229,0.0045,6.0786
CTSH,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.0648,0.1998,1.9239,0.0239,6.0562
KIF2A,Stim48hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-32.113,0.1854,2.018,0.0124,6.0525
SAT1,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-10.1296,0.4059,1.9783,0.0184,6.049
KAT6A,Stim48hr,asthma,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-20.5923,0.7947,2.3613,0.0318,6.049
ARPC2,Stim8hr,inflammatory bowel disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-18.0333,0.5745,2.8934,0.0048,6.0476
CTSH,Rest,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-9.6691,0.1998,2.0975,0.0068,6.002
ACAP1,Stim8hr,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-15.3569,0.8212,2.3947,0.0389,6.0
CA11,Stim8hr,ankylosing spondylitis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.6465,0.0682,3.6295,0.0066,5.9915
OAS1,Stim8hr,systemic lupus erythematosus,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-7.0361,0.2791,2.3947,0.0389,5.984
IL22,Stim48hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-3.1005,0.3421,3.4696,0.0142,5.9743
WARS1,Stim48hr,asthma,"partial chain - effect:flagged, program:untested, disease:supported",1,-15.2552,,2.3613,0.0265,5.9708
AFF1,Stim8hr,atopic eczema,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-1.2749,0.3667,4.8979,0.0005224,5.9694
RMC1,Stim8hr,asthma,"partial chain - effect:supported, program:untested, disease:supported",1,-27.8197,,2.3974,0.0296,5.968
ETS1,Stim8hr,systemic lupus erythematosus,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.9293,0.0377,3.7403,0.0025,5.9456
ZNF704,Stim8hr,rheumatoid arthritis,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-8.1825,0.3885,2.2506,0.0288,5.9391
RASSF3,Stim8hr,autoimmune disease,program link refuted: knockdown valid but no significant Th1/Th2 shift,1,-5.7741,0.449,2.2219,0.005,5.9321
