gene,condition,top_disease,overall_status,kd_ok,effect_size,program_adj_p,disease_OR,disease_FDR,chain_score
IL13,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-12.6645,5.806e-31,4.5639,0.0038,29.6747
IL13,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.5869,5.806e-31,2.6365,0.0057,29.6051
SBF2,Stim8hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.988,4.489e-40,3.0478,0.0018,29.5841
JAK2,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.6999,6.006e-86,5.2985,0.0347,29.5554
CREM,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-5.5717,6.54e-28,3.2947,0.0095,29.5369
IFNG,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-1.1591,2.826e-143,2.2471,0.0318,29.4925
CD44,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.8771,2.449e-36,4.0078,0.0052,29.3826
FEN1,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,-11.6926,3.412e-30,3.6625,0.0031,29.335
F5,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-20.7203,3.646e-34,2.5487,0.0003376,29.3149
RNASET2,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.2429,5.953e-31,2.8934,0.0048,29.2763
ALOX5AP,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.3668,3.577e-59,2.018,0.0124,29.2763
FYB1,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-0.8144,2.747e-57,3.0405,5.05e-06,29.1969
STAT4,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-15.2612,7.854e-91,3.0478,0.0018,29.1944
CD44,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-18.5663,2.449e-36,2.3196,0.002,29.1488
TMBIM1,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-16.2164,2.181e-18,2.4162,0.0171,29.0973
CLEC2D,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-19.6235,9.694e-71,2.2157,0.0025,29.0159
CCR2,Stim8hr,type 1 diabetes mellitus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.0254,2.381e-34,4.0078,0.0052,29.0115
ACVR2A,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-7.3501,5.446e-32,2.5487,0.0003376,28.989
PPP2R5C,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,-2.7866,6.148e-20,1.9239,0.0239,28.9868
PTGIR,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.8719,3.032e-55,3.0405,5.05e-06,28.9476
TRABD2A,Stim48hr,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-11.3859,2.961e-67,3.2147,0.0117,28.9422
GALC,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-10.8649,3.589e-32,2.8934,0.0048,28.9406
CDC42EP3,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-9.749,3.193e-58,2.8071,0.0025,28.9397
ADGRG5,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.299,1.487e-86,3.0405,5.05e-06,28.8644
NCALD,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-6.3522,3.042e-78,2.5487,0.0003376,28.8426
NDFIP1,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-22.4291,1.473e-22,3.6625,0.0031,28.8119
IGSF9B,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,-8.8276,7.015e-72,2.9229,0.0045,28.7569
