gsm,sample_name,patient,condition,replicate,cell_type,cell_label_method,n_cells,total_cells_sample,NAB2_mean,NAB2_pct_expr,STAT6_mean,STAT6_pct_expr,IL13_mean,IL13_pct_expr,CCL17_mean,CCL17_pct_expr,GATA3_mean,GATA3_pct_expr,type2_full_genes,type2_full_mean,type2_detected_genes,type2_detected_mean,type2_sensitivity_genes,type2_sensitivity_mean
GSM6190734,BCH01-L1,BCH01,AD lesional,L1,myeloid,obs:Cell type,1010,7435,0.026463141664862633,1.2871287128712872,0.11782535910606384,5.544554455445545,0.0036076263058930635,0.19801980198019803,0.9620341062545776,23.96039603960396,0.0015402792487293482,0.09900990099009901,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.15598519146442413,"CCL17,CCL22,IL4R",0.46388089656829834,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.23337651789188385
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,B cells,obs:Cell type,20,6687,0.15260867774486542,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,LEC,obs:Cell type,172,6687,0.0,0.0,0.0,0.0,0.010700332000851631,0.5813953488372093,0.030661413446068764,1.1627906976744187,0.010276691056787968,0.5813953488372093,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.009130742400884628,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.011912724934518337
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,Pericyte/SMC,obs:Cell type,277,6687,0.061945538967847824,3.2490974729241873,0.15702012181282043,8.303249097472925,0.0,0.0,0.022951429709792137,1.083032490974729,0.009693879634141922,0.36101083032490977,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.120522141456604,CCL26,1.0174304246902466,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.180783212184906
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,Schwann,obs:Cell type,23,6687,0.11407732963562012,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,Sweat gland,obs:Cell type,47,6687,0.03137992322444916,2.127659574468085,0.06493563950061798,4.25531914893617,0.0,0.0,0.0,0.0,0.0665002092719078,4.25531914893617,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.008349480107426643,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.00866075698286295
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,T/NK,obs:Cell type,664,6687,0.058256711810827255,2.710843373493976,0.06724810600280762,3.1626506024096384,0.1639663577079773,6.325301204819277,0.019518190994858742,0.9036144578313252,0.29851701855659485,13.253012048192772,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.03392386436462402,"IL13,IL4R",0.11705995351076126,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0215286985039711
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,VEC,obs:Cell type,281,6687,0.04915580898523331,3.558718861209965,0.21000288426876068,16.014234875444842,0.0,0.0,0.013965167105197906,1.4234875444839856,0.007230184972286224,0.3558718861209964,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.03727487102150917,CCL26,0.22650206089019775,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.05591230466961861
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,fibroblast,obs:Cell type,1749,6687,0.08189938962459564,4.173813607775871,0.14906667172908783,7.833047455688965,0.0027471636421978474,0.11435105774728416,0.030311422422528267,1.3722126929674099,0.005586343817412853,0.34305317324185247,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.026279885321855545,"CCL17,CCL26,IL4R",0.07445622980594635,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.03896196559071541
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,keratinocyte,obs:Cell type,2572,6687,0.12083783745765686,11.35303265940902,0.19954822957515717,17.223950233281492,0.0007234461954794824,0.07776049766718507,0.02097555808722973,1.9051321928460343,0.5206231474876404,39.61897356143079,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.017628654837608337,"CCL17,TSLP,IL4R",0.046663764864206314,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.02632240764796734
GSM6190735,BCH01-L2,BCH01,AD lesional,L2,melanocyte,obs:Cell type,14,6687,0.13377273082733154,7.142857142857142,0.27444708347320557,14.285714285714285,0.0,0.0,0.0,0.0,0.11827170103788376,7.142857142857142,"IL13,IL4,IL5,IL31,CCL17,CCL22,CCL26,TSLP,IL4R",0.0,,,"CCL17,CCL22,CCL26,TSLP,IL4R,IL31",0.0
